person,dept,eow,cause
Patrolman Lawrence Michael Jupin,"Westminster Police Department, MA","EOW: Friday, November 29, 2002",Cause: Gunfire
Deputy Sheriff David Alan Powell,"Los Angeles County Sheriff's Department, CA","EOW: Saturday, November 30, 2002",Cause: Gunfire
Trooper I Christopher Scott Scales,"New Jersey State Police, NJ","EOW: Tuesday, December 3, 2002",Cause: Struck by vehicle
Deputy Sheriff George Monroe Selby,"Shelby County Sheriff's Office, TN","EOW: Wednesday, December 4, 2002",Cause: Gunfire
Corrections Sergeant Shannon Douglas Russell,"Pima County Sheriff's Department, AZ","EOW: Thursday, December 5, 2002",Cause: Heart attack
"Deputy Jailer Howard E. ""Buck"" Callis","Trimble County Jail, KY","EOW: Tuesday, December 10, 2002",Cause: Automobile crash
Chief Deputy Sheriff Sharon Joann Barnes,"Dent County Sheriff's Department, MO","EOW: Tuesday, December 10, 2002",Cause: Gunfire
Agent Guillermo Garcia-Marti,"Puerto Rico Police Department, PR","EOW: Wednesday, December 11, 2002",Cause: Struck by vehicle
Commissioner Ray B. Franklin,"Kentucky Office of Charitable Gaming, KY","EOW: Thursday, December 12, 2002",Cause: Automobile crash
Patrolman Richard Wallace Martin,"Howland Police Department, OH","EOW: Saturday, December 14, 2002",Cause: Heart attack
Park Ranger James Royce Pitney,"Muskingum Watershed Conservancy District, OH","EOW: Tuesday, December 17, 2002",Cause: Accidental
Park Ranger Thomas Patrick O'Hara,"United States Department of the Interior - National Park Service, US","EOW: Thursday, December 19, 2002",Cause: Aircraft accident
Trooper Robert Wayne Ambrose,"New York State Police, NY","EOW: Thursday, December 19, 2002",Cause: Automobile crash
Officer Christopher Robert Betts,"East Point Police Department, GA","EOW: Sunday, December 22, 2002",Cause: Struck by vehicle
Deputy Sheriff Bobby Ray Franks,"Houston County Sheriff's Department, TX","EOW: Monday, December 23, 2002",Cause: Struck by vehicle
Detective Kenneth Scott Schiller,"Colton Police Department, CA","EOW: Saturday, December 28, 2002",Cause: Duty related illness
Police Officer Joseph John McGarry,"Myrtle Beach Police Department, SC","EOW: Sunday, December 29, 2002",Cause: Gunfire
K9 Sgt. Don Vom Ederbergland,"McLoud Police Department, OK","EOW: Tuesday, January 1, 2002",Cause: Gunfire
K9 Jambo,"San Leandro Police Department, CA","EOW: Friday, February 8, 2002",Cause: Assault
K9 Rudy,"Oxnard Police Department, CA","EOW: Friday, April 19, 2002",Cause: Stabbed
K9 Fax,"Lake County Sheriff's Department, IN","EOW: Tuesday, April 23, 2002",Cause: Animal related
K9 Mark,"Osceola County Sheriff's Office, FL","EOW: Sunday, May 19, 2002",Cause: Struck by vehicle
K9 Woodrow,"Philadelphia Police Department, PA","EOW: Friday, May 24, 2002",Cause: Heat exhaustion
K9 Rik,"Bonneville County Sheriff's Office, ID","EOW: Wednesday, June 5, 2002",Cause: Gunfire
Deputy Sheriff Dennis Ray McElderry,"Davis County Sheriff's Department, IA","EOW: Friday, January 3, 2003",Cause: Vehicle pursuit
Police Officer Anthony Lorror Johnson,"Philadelphia Police Department, PA","EOW: Tuesday, January 7, 2003",Cause: Heart attack
Officer Andre Gerard Booker,"Henrico County Police Department, VA","EOW: Sunday, January 12, 2003",Cause: Drowned
Deputy Sheriff Adam Reid Fleshner,"Charlton County Sheriff's Office, GA","EOW: Monday, January 13, 2003",Cause: Automobile crash
Reserve Deputy Deborah Jean Hobbs,"Lake County Sheriff's Office, MT","EOW: Thursday, January 16, 2003",Cause: Automobile crash
Police Officer Sheila Herring,"Norfolk Police Department, VA","EOW: Thursday, January 16, 2003",Cause: Gunfire
"Police Officer Joseph N. Sachatello, III","Montville Police Department, CT","EOW: Thursday, January 23, 2003",Cause: Automobile crash
Agent Benedicto Rosado-Trinidad,"San Juan Police Department, PR","EOW: Thursday, January 23, 2003",Cause: Motorcycle crash
Sergeant William Gruenes,"Johnsburg Police Department, IL","EOW: Friday, January 24, 2003",Cause: Vehicular assault
Deputy Sheriff David Charles Jones,"Garfield County Sheriff's Office, UT","EOW: Sunday, January 26, 2003",Cause: Gunfire
Supervisor Stanley A. Wiley,"Texas Department of Criminal Justice, TX","EOW: Wednesday, January 29, 2003",Cause: Stabbed
Trooper Michael Todd Blanton,"Virginia State Police, VA","EOW: Wednesday, January 29, 2003",Cause: Vehicular assault
Corporal Edward Roy Davenport,"Long Beach Police Department, CA","EOW: Tuesday, February 4, 2003",Cause: Fall
Trooper Brian Allen Patterson,"Pennsylvania State Police, PA","EOW: Friday, February 14, 2003",Cause: Electrocuted
Police Officer Eric Eugene DeWit,"Matteson Police Department, IL","EOW: Monday, February 17, 2003",Cause: Automobile crash
Lieutenant George S. Brooks,"New Tazewell Police Department, TN","EOW: Wednesday, February 19, 2003",Cause: Struck by vehicle
"Patrolman Jeremy Edward ""Jay"" Carruth","Alexandria Police Department, LA","EOW: Thursday, February 20, 2003",Cause: Gunfire
Patrolman First Class David Christopher Ezernack,"Alexandria Police Department, LA","EOW: Thursday, February 20, 2003",Cause: Gunfire
Lieutenant Glenn Harold Hicks,"Avery County Sheriff's Office, NC","EOW: Thursday, February 20, 2003",Cause: Gunfire
"Chief of Police Ernest Joseph Leatherbury, Sr.","Crisfield Police Department, MD","EOW: Friday, February 21, 2003",Cause: Heart attack
Police Officer II Glen Alvin Gaspar,"Honolulu Police Department, HI","EOW: Tuesday, March 4, 2003",Cause: Gunfire
Deputy Sheriff Michael Eron Shannon,"Adams County Sheriff's Office, WI","EOW: Friday, March 7, 2003",Cause: Gunfire
"Police Officer James Williams Branson, Jr.","St. Louis Metropolitan Police Department, MO","EOW: Sunday, March 9, 2003",Cause: Vehicle pursuit
Detective James Verneuil Nemorin,"New York City Police Department, NY","EOW: Monday, March 10, 2003",Cause: Gunfire
Detective Rodney J. Andrews,"New York City Police Department, NY","EOW: Monday, March 10, 2003",Cause: Gunfire
Sergeant Philip J. O'Reilly,"Chicago Police Department, IL","EOW: Sunday, March 16, 2003",Cause: Automobile crash
Deputy Sheriff David Harold Rader,"Greene County Sheriff's Office, TN","EOW: Monday, March 17, 2003",Cause: Struck by vehicle
Deputy Sheriff Brent C. Jenkins,"Riverside County Sheriff's Department, CA","EOW: Tuesday, March 18, 2003",Cause: Automobile crash
Sergeant David Paul Land,"Forsyth County Sheriff's Office, GA","EOW: Wednesday, March 26, 2003",Cause: Motorcycle crash
Deputy Marshal Glen Denning DeVanie,"Alexandria City Marshal's Office, LA","EOW: Wednesday, April 2, 2003",Cause: Automobile crash
"Investigator Antonio Joselito ""Joe"" Sapinoso","Greenville County Sheriff's Office, SC","EOW: Wednesday, April 2, 2003",Cause: Gunfire
Police Officer Charles Roy Clark,"Houston Police Department, TX","EOW: Thursday, April 3, 2003",Cause: Gunfire
Correction Officer Michael Wilson Douds,"Ohio Department of Rehabilitation and Correction, OH","EOW: Saturday, April 5, 2003",Cause: Heart attack
Deputy Sheriff Philip Guy Billings,"Broward County Sheriff's Office, FL","EOW: Sunday, April 6, 2003",Cause: Gunfire
Officer Melvin Earl Collins,"Brunswick Police Department, GA","EOW: Friday, April 11, 2003",Cause: Gunfire
Lieutenant Robert Rice,"New York City Police Department, NY","EOW: Saturday, April 12, 2003",Cause: 9/11 related illness
"Sergeant Jose Arturo ""Joe"" Herrera","Friona Police Department, TX","EOW: Monday, April 14, 2003",Cause: Vehicular assault
Inspector Raymond Joseph Giacomelli,"Pittsburg Police Department, CA","EOW: Tuesday, April 15, 2003",Cause: Gunfire
"Police Officer Eddie Mundo, Jr.","LaGrange Police Department, KY","EOW: Wednesday, April 16, 2003",Cause: Vehicular assault
"Deputy Sheriff Charles Randal ""Randy"" Smith","Evangeline Parish Sheriff's Department, LA","EOW: Wednesday, April 16, 2003",Cause: Gunfire
Police Officer Mary Ann Collura,"Fair Lawn Police Department, NJ","EOW: Thursday, April 17, 2003",Cause: Gunfire
Agent Angel Gonzalez-Fontanez,"San Juan Police Department, PR","EOW: Sunday, April 20, 2003",Cause: Vehicle pursuit
Police Officer Aaron Jovon Blount,"Fulton County Police Department, GA","EOW: Tuesday, April 22, 2003",Cause: Gunfire
"Police Officer Gerald Kieffer Griffin, Jr.","San Diego Police Department, CA","EOW: Friday, April 25, 2003",Cause: Struck by vehicle
"Police Officer Johnathan  ""Cole"" Martin","Chatsworth Police Department, GA","EOW: Friday, April 25, 2003",Cause: Automobile crash
Deputy Sheriff Toney Clayton Summey,"Randolph County Sheriff's Office, NC","EOW: Sunday, April 27, 2003",Cause: Gunfire
Patrolman Michael Thomas Hartzell,"Youngstown Police Department, OH","EOW: Tuesday, April 29, 2003",Cause: Gunfire
Chief of Safety John Ross Juneau,"Southwest Georgia Regional Airport Police Department, GA","EOW: Friday, May 2, 2003",Cause: Heart attack
"Detective Thomas F. Weiner, Jr.","New York City Police Department, NY","EOW: Saturday, May 3, 2003",Cause: 9/11 related illness
Police Officer Randall James Spearman,"Folsom Police Department, LA","EOW: Sunday, May 4, 2003",Cause: Struck by vehicle
Officer Scott Allen Hylton,"Christiansburg Police Department, VA","EOW: Friday, May 9, 2003",Cause: Gunfire
Deputy Sheriff Bruce Kevin Lee,"Riverside County Sheriff's Department, CA","EOW: Tuesday, May 13, 2003",Cause: Assault
"Deputy Sheriff James Joseph ""Jim"" Mulay","Peoria County Sheriff's Department, IL","EOW: Monday, May 19, 2003",Cause: Vehicular assault
Conservation Officer Douglas Wayne Bryant,"Kentucky Department of Fish and Wildlife Resources, KY","EOW: Monday, May 19, 2003",Cause: Vehicle pursuit
Trooper Michael Lynn Newton,"Missouri State Highway Patrol, MO","EOW: Thursday, May 22, 2003",Cause: Automobile crash
Officer Patrick Kent Hardesty,"Tucson Police Department, AZ","EOW: Monday, May 26, 2003",Cause: Gunfire
Deputy Sheriff Jeremiah Kirk Johnson,"Emery County Sheriff's Office, UT","EOW: Tuesday, May 27, 2003",Cause: Automobile crash
Reserve Police Officer Michael Timothy Short,"San Fernando Police Department, CA","EOW: Wednesday, May 28, 2003",Cause: Heart attack
Police Officer Ryan Eugene Cappelletty,"Chesterfield County Police Department, VA","EOW: Wednesday, May 28, 2003",Cause: Gunfire
Deputy Sheriff Joshua Clyde Lancaster,"Fresno County Sheriff's Office, CA","EOW: Thursday, May 29, 2003",Cause: Vehicle pursuit
Deputy Sheriff Joshua Thomas Rutherford,"Blaine County Sheriff's Office, MT","EOW: Thursday, May 29, 2003",Cause: Gunfire
Senior Trooper Anthony Greg Cogdill,"North Carolina Highway Patrol, NC","EOW: Friday, May 30, 2003",Cause: Vehicular assault
Undersheriff Matthew John Lane,"Ferry County Sheriff's Department, WA","EOW: Friday, May 30, 2003",Cause: Aircraft accident
"Lieutenant Charles A. ""Bo"" Harrison","Pasco County Sheriff's Office, FL","EOW: Sunday, June 1, 2003",Cause: Gunfire
"Lieutenant Ronald Weldon Weber, Sr.","Westminster Police Department, CA","EOW: Friday, June 6, 2003",Cause: Duty related illness
Officer Arnold Gunther Strickland,"Fayette Police Department, AL","EOW: Saturday, June 7, 2003",Cause: Gunfire
Corporal James Eddie Crump,"Fayette Police Department, AL","EOW: Saturday, June 7, 2003",Cause: Gunfire
Correctional Officer Darla Kay Lathrem,"Florida Department of Corrections, FL","EOW: Wednesday, June 11, 2003",Cause: Assault
Deputy Sheriff Joseph Scott Quarles,"Laurens County Sheriff's Office, SC","EOW: Wednesday, June 11, 2003",Cause: Automobile crash
Police Officer Tony Willi Zeppetella,"Oceanside Police Department, CA","EOW: Friday, June 13, 2003",Cause: Gunfire
Sergeant Michael Walter Johnson,"Vermont State Police, VT","EOW: Sunday, June 15, 2003",Cause: Vehicle pursuit
"Conservation Officer James Lansford ""Lance"" Horner, Jr.","Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL","EOW: Sunday, June 22, 2003",Cause: Drowned
Police Officer Rodney Fredderick Pocceschi,"Virginia Beach Police Department, VA","EOW: Monday, June 23, 2003",Cause: Gunfire
"Police Officer John Frederick Lee ""Fred"" Small","Inglewood Police Department, CA","EOW: Tuesday, June 24, 2003",Cause: Motorcycle crash
Police Officer Melvin Lisojo,"Newark Police Department, NJ","EOW: Tuesday, June 24, 2003",Cause: Vehicular assault
"Detective I Abiel  ""Abe"" Barron","Los Angeles Police Department, CA","EOW: Wednesday, June 25, 2003",Cause: Automobile crash
Police Officer Terry William Bennett,"San Diego Police Department, CA","EOW: Thursday, June 26, 2003",Cause: Vehicular assault
Deputy Sheriff Saul Gallegos,"Chelan County Sheriff's Office, WA","EOW: Thursday, June 26, 2003",Cause: Gunfire
"Police Officer Gerald Wayne Warf, Jr.","Red Bank Police Department, TN","EOW: Saturday, June 28, 2003",Cause: Automobile crash
"Deputy Sheriff Charles T. ""Chuck"" Sease","Flagler County Sheriff's Office, FL","EOW: Saturday, July 5, 2003",Cause: Vehicle pursuit
Trooper Kevin Michael Marshall,"Michigan State Police, MI","EOW: Monday, July 7, 2003",Cause: Gunfire
Sergeant Michael Anthony Fitzgerald,"Moore County Sheriff's Office, TX","EOW: Tuesday, July 8, 2003",Cause: Automobile crash
Deputy Sheriff John Wayne Musice,"Wilson County Sheriff's Department, TN","EOW: Wednesday, July 9, 2003",Cause: Vehicle pursuit
Sergeant Jerry Alton Mundy,"Mt. Juliet Police Department, TN","EOW: Wednesday, July 9, 2003",Cause: Vehicle pursuit
Resource Protection Officer Steven Vance Caddy,"Oregon Military Department - Portland Air Base Police, OR","EOW: Wednesday, July 16, 2003",Cause: Heart attack
Deputy Constable John David Garcia,"Montgomery County Constable's Office - Precinct 5, TX","EOW: Thursday, July 17, 2003",Cause: Automobile crash
Corrections Officer John Murphy Bennett,"Texas Department of Criminal Justice, TX","EOW: Thursday, July 17, 2003",Cause: Automobile crash
Police Officer Kelli Lee Lambert,"Wellston Police Department, OH","EOW: Monday, July 21, 2003",Cause: Automobile crash
Officer Ryan Keith Goto,"Honolulu Police Department, HI","EOW: Wednesday, July 23, 2003",Cause: Motorcycle crash
"Officer Gordon Lewis ""Lew"" Stevens","Canton Police Department, MI","EOW: Wednesday, July 23, 2003",Cause: Automobile crash
Inspector Brian Dominique Olcomendy,"San Francisco Police Department, CA","EOW: Saturday, July 26, 2003",Cause: Duty related illness
"Police Officer Richard Lawn, Jr.","Lower Gwynedd Township Police Department, PA","EOW: Monday, July 28, 2003",Cause: Automobile crash
Police Officer Douglas Edward Wendel,"Richmond Police Department, VA","EOW: Wednesday, July 30, 2003",Cause: Gunfire
Detective Chaney Joseph Champagne,"Lafourche Parish Sheriff's Department, LA","EOW: Thursday, July 31, 2003",Cause: Automobile crash
Sergeant Kurt E. Harrelson,"Lafourche Parish Sheriff's Department, LA","EOW: Thursday, July 31, 2003",Cause: Automobile crash
Deputy Sheriff Stephen Douglas Sorensen,"Los Angeles County Sheriff's Department, CA","EOW: Saturday, August 2, 2003",Cause: Gunfire
Deputy Sheriff Timothy Wayne Woodard,"Cherokee County Sheriff's Office, GA","EOW: Saturday, August 2, 2003",Cause: Automobile crash
Officer Patrick Martin Maher,"Federal Way Police Department, WA","EOW: Saturday, August 2, 2003",Cause: Gunfire
Detective Jimmy Darrell Wooley,"Faulkner County Sheriff's Office, AR","EOW: Tuesday, August 5, 2003",Cause: Fall
Game Warden Wesley Warren Wagstaff,"Texas Parks and Wildlife Department - Law Enforcement Division, TX","EOW: Tuesday, August 5, 2003",Cause: Automobile crash
"Chief of Police Verlon LeMaster, Jr.","Grant Police Department, AL","EOW: Friday, August 15, 2003",Cause: Gunfire
Deputy Sheriff Andrew John Mazur,"Greenville County Sheriff's Office, SC","EOW: Sunday, August 17, 2003",Cause: Gunfire
Deputy Sheriff Irving Lawrence Burkett,"Multnomah County Sheriff's Office, OR","EOW: Thursday, August 21, 2003",Cause: Gunfire
"Detective William B. Titus, Jr.","New York City Police Department, NY","EOW: Sunday, August 24, 2003",Cause: 9/11 related illness
Sergeant Rodney Lee Davis,"Greene County Sheriff's Office, VA","EOW: Tuesday, August 26, 2003",Cause: Gunfire
Officer Shannon Lee Distel,"California Highway Patrol, CA","EOW: Wednesday, August 27, 2003",Cause: Vehicular assault
Patrolman II Anthony Louis Woods,"Memphis Police Department, TN","EOW: Wednesday, August 27, 2003",Cause: Gunfire
Deputy Sheriff James Joseph Slater,"Spokane County Sheriff's Department, WA","EOW: Friday, August 29, 2003",Cause: Automobile crash
"Deputy Sheriff William Franklin James, II","Wake County Sheriff's Office, NC","EOW: Friday, September 5, 2003",Cause: Automobile crash
Police Officer Michael Christopher Waters,"West Memphis Police Department, AR","EOW: Thursday, September 11, 2003",Cause: Vehicle pursuit
"Captain Joseph Aloysius Mattingly, Jr.","Montgomery County Police Department, MD","EOW: Saturday, September 13, 2003",Cause: Automobile crash
"Sergeant Jason ""Tye"" Pratt","Omaha Police Department, NE","EOW: Friday, September 19, 2003",Cause: Gunfire
Corporal Tyler Matthew Pinchot,"Buena Park Police Department, CA","EOW: Sunday, September 21, 2003",Cause: Motorcycle crash
Investigator Bret Duane Tepe,"Ford County Sheriff's Office, KS","EOW: Tuesday, September 23, 2003",Cause: Automobile crash
Deputy Sheriff John Fitzgerald Strickland,"Harnett County Sheriff's Office, NC","EOW: Wednesday, September 24, 2003",Cause: Automobile crash
Deputy Sheriff Phil Owens,"Wake County Sheriff's Office, NC","EOW: Thursday, October 2, 2003",Cause: Automobile crash
Captain Robert T. Hansel,"Lynch Police Department, KY","EOW: Sunday, October 5, 2003",Cause: Automobile crash
Deputy Sheriff Kevin Michael Sherwood,"Clare County Sheriff's Department, MI","EOW: Thursday, October 9, 2003",Cause: Automobile crash
Narcotics Officer Donnie Reno Washington,"Richland County Sheriff's Department, SC","EOW: Thursday, October 16, 2003",Cause: Automobile crash
Police Officer Thomas Joseph Morash,"West Palm Beach Police Department, FL","EOW: Friday, October 17, 2003",Cause: Motorcycle crash
Deputy Sheriff Bruce Allen Williams,"Green Lake County Sheriff's Office, WI","EOW: Sunday, October 19, 2003",Cause: Gunfire
Police Officer Daniel Matthew Starks,"Fort Myers Police Department, FL","EOW: Saturday, October 25, 2003",Cause: Vehicle pursuit
Police Officer Micah Corey Brown,"Metropolitan Atlanta Rapid Transit Authority Police Department, GA","EOW: Saturday, October 25, 2003",Cause: Vehicular assault
Police Officer Robert D. Melton,"Gardena Police Department, CA","EOW: Saturday, November 1, 2003",Cause: Gunfire
Officer Robert Joseph Coulter,"California Highway Patrol, CA","EOW: Sunday, November 2, 2003",Cause: Gunfire (Accidental)
Lieutenant Gregory Floyd Medlin,"DeSoto County Sheriff's Department, MS","EOW: Sunday, November 2, 2003",Cause: Automobile crash
Police Officer Toby Ray Dirickson,"Ranger Police Department, TX","EOW: Sunday, November 2, 2003",Cause: Struck by vehicle
Deputy Sheriff William Paul Davis,"Moody County Sheriff's Department, SD","EOW: Monday, November 3, 2003",Cause: Struck by vehicle
Correctional Officer Frederick Gayle Hyatt,"Tennessee Department of Correction, TN","EOW: Saturday, November 8, 2003",Cause: Assault
Enforcement Agent Lorenzo Roberto Gomez,"United States Department of Homeland Security - Immigration and Customs Enforcement - Office of Enforcement and Removal Operations, US","EOW: Saturday, November 8, 2003",Cause: Training accident
Deputy Sheriff Richard Meyer,"Winnebago County Sheriff's Office, WI","EOW: Thursday, November 13, 2003",Cause: Automobile crash
Police Officer Matthew Michael Pavelka,"Burbank Police Department, CA","EOW: Saturday, November 15, 2003",Cause: Gunfire
"Sergeant Anthony Michael ""Tony"" Walker","Prince George's County Police Department, MD","EOW: Saturday, November 15, 2003",Cause: Automobile crash
Officer Dean Edward Beattie,"California Highway Patrol, CA","EOW: Wednesday, November 19, 2003",Cause: Motorcycle crash
Police Officer John Charles Samra,"Clifton Police Department, NJ","EOW: Friday, November 21, 2003",Cause: Vehicle pursuit
Police Officer James O'Brien,"Temple Police Department, TX","EOW: Friday, November 21, 2003",Cause: Motorcycle crash
Sergeant Jeffry Todd Edelson,"New York State Police, NY","EOW: Sunday, November 23, 2003",Cause: Automobile crash
"Deputy Sheriff James Marcus ""Jimmy"" Weaver","Orange County Sheriff's Office, FL","EOW: Monday, November 24, 2003",Cause: Struck by vehicle
Deputy Sheriff Ruby Ann Rainault,"Essex County Sheriff's Department, VT","EOW: Monday, November 24, 2003",Cause: Automobile crash
Sergeant Hubert Dean Yancey,"Scott County Sheriff's Department, TN","EOW: Friday, November 28, 2003",Cause: Gunfire (Accidental)
Deputy Sheriff Glenn Matthew Searles,"Onondaga County Sheriff's Department, NY","EOW: Saturday, November 29, 2003",Cause: Struck by vehicle
Deputy Sheriff Christopher John Hensley,"Lewis County Sheriff's Office, ID","EOW: Sunday, November 30, 2003",Cause: Automobile crash
Trooper Tony Michael Lumley,"Georgia State Patrol, GA","EOW: Tuesday, December 2, 2003",Cause: Vehicle pursuit
Town Marshal Richard Mark Clapp,"New Richmond Town Marshal's Office, IN","EOW: Friday, December 5, 2003",Cause: Heart attack
Constable Donald McMurray Ouzts,"Abbeville County Magistrate's Office, SC","EOW: Monday, December 8, 2003",Cause: Gunfire
Sergeant Danny Wilson,"Abbeville County Sheriff's Department, SC","EOW: Monday, December 8, 2003",Cause: Gunfire
Corporal Thomas Roberts,"Mishawaka Police Department, IN","EOW: Saturday, December 13, 2003",Cause: Gunfire
Patrolman Bryan Scott Verkler,"Mishawaka Police Department, IN","EOW: Saturday, December 13, 2003",Cause: Gunfire
Border Patrol Agent James Paul Epling,"United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US","EOW: Tuesday, December 16, 2003",Cause: Drowned
Trooper Scott Alan Patrick,"Indiana State Police, IN","EOW: Monday, December 22, 2003",Cause: Gunfire
Reserve Officer Russell Hayden Simpson,"Bandon Police Department, OR","EOW: Monday, December 22, 2003",Cause: Drowned
Police Officer John Patrick Watson,"Kenai Police Department, AK","EOW: Thursday, December 25, 2003",Cause: Gunfire
Trooper Nikky Joe Green,"Oklahoma Highway Patrol, OK","EOW: Friday, December 26, 2003",Cause: Gunfire
"Deputy Sheriff Jesus A. Garza, Jr.","Bexar County Sheriff's Office, TX","EOW: Friday, December 26, 2003",Cause: Automobile crash
Officer Paul Hubertus Pino,"California Highway Patrol, CA","EOW: Tuesday, December 30, 2003",Cause: Automobile crash
"Police Officer Arthur Joseph Ohlsen, III","Dover Town Police Department, NJ","EOW: Tuesday, December 30, 2003",Cause: Struck by train
K9 Urk,"San Diego County Sheriff's Department, CA","EOW: Saturday, January 18, 2003",Cause: Gunfire
K9 Bryson,"Cattaraugus County Sheriff's Office, NY","EOW: Friday, January 24, 2003",Cause: Automobile crash
K9 Ikon,"Everett Police Department, WA","EOW: Tuesday, March 25, 2003",Cause: Struck by vehicle
K9 Alko,"Lee County Sheriff's Office, FL","EOW: Sunday, April 20, 2003",Cause: Stabbed
K9 Faro,"Norfolk Police Department, VA","EOW: Friday, August 22, 2003",Cause: Gunfire
K9 Marko,"Los Angeles County Sheriff's Department, CA","EOW: Sunday, August 24, 2003",Cause: Gunfire (Accidental)
K9 Nero,"Sacramento County Sheriff's Department, CA","EOW: Saturday, December 27, 2003",Cause: Automobile crash
Sergeant Larry Wayne Russell,"Athens Police Department, AL","EOW: Friday, January 2, 2004",Cause: Gunfire
Officer Anthony Lee Mims,"Athens Police Department, AL","EOW: Friday, January 2, 2004",Cause: Gunfire
"Captain James E. ""Jim"" Baugh","Putnam County Sheriff's Office, IN","EOW: Friday, January 2, 2004",Cause: Automobile crash
Deputy Sheriff Kenneth R. Burton,"Richmond County Sheriff's Office, GA","EOW: Sunday, January 4, 2004",Cause: Struck by vehicle
Lieutenant Sidney A. Zaffuto,"Orleans Parish Sheriff's Office, LA","EOW: Thursday, January 8, 2004",Cause: Gunfire
Police Officer Clinton Earl Walker,"Prattville Police Department, AL","EOW: Wednesday, January 14, 2004",Cause: Gunfire (Accidental)
Conservation Officer Jon Christopher Draper,"Utah Division of Wildlife Resources, UT","EOW: Sunday, January 25, 2004",Cause: Duty related illness
Sergeant Ronald H. Phillips,"Polk County Sheriff's Department, NE","EOW: Monday, January 26, 2004",Cause: Heart attack
Police Officer Steven Phillips,"Westminster Police Department, CA","EOW: Thursday, January 29, 2004",Cause: Motorcycle crash
Police Officer Nicholas Kevin Sloan,"St. Louis Metropolitan Police Department, MO","EOW: Friday, January 30, 2004",Cause: Gunfire
Sergeant Keith A. Ferguson,"New York City Police Department, NY","EOW: Saturday, January 31, 2004",Cause: Heart attack
Deputy Sheriff Jerry Dale Ridgell,"Chicot County Sheriff's Office, AR","EOW: Sunday, February 1, 2004",Cause: Heart attack
"Detective William ""Wally"" Rolniak, Jr.","Riverdale Police Department, IL","EOW: Wednesday, February 4, 2004",Cause: Gunfire
"Trooper Bertram Zimmerman, III","New Jersey State Police, NJ","EOW: Thursday, February 5, 2004",Cause: Automobile crash
Deputy Sheriff Brian Robert Litz,"Marion County Sheriff's Office, FL","EOW: Saturday, February 7, 2004",Cause: Gunfire
Sergeant John Mathew Maki,"Celeste Police Department, TX","EOW: Tuesday, February 10, 2004",Cause: Automobile crash
Corporal Matthew Alan Thompson,"Mobile Police Department, AL","EOW: Thursday, February 12, 2004",Cause: Struck by vehicle
Investigator Mark Reid Tucker,"Wake County Sheriff's Office, NC","EOW: Thursday, February 12, 2004",Cause: Gunfire
Lieutenant John F. Finn,"Albany Police Department, NY","EOW: Thursday, February 12, 2004",Cause: Gunfire
Police Officer Matthew E. Bowens,"Detroit Police Department, MI","EOW: Monday, February 16, 2004",Cause: Gunfire
Police Officer Jennifer Timathy-Ann Fettig,"Detroit Police Department, MI","EOW: Monday, February 16, 2004",Cause: Gunfire
Deputy Constable F. Scott Claborn,"Harris County Constable's Office - Precinct 4, TX","EOW: Thursday, February 19, 2004",Cause: Vehicular assault
Police Officer Ricardo Lizarraga,"Los Angeles Police Department, CA","EOW: Friday, February 20, 2004",Cause: Gunfire
Inspector David Howell Jennings,"Alabama Liquefied Petroleum Gas Board, AL","EOW: Wednesday, February 25, 2004",Cause: Automobile crash
Special Agent Thomas John Wyatt,"Minnesota Bureau of Criminal Apprehension, MN","EOW: Wednesday, March 3, 2004",Cause: Automobile crash
Sergeant Kenneth Louis Brown,"Atlantic City Police Department, NJ","EOW: Wednesday, March 10, 2004",Cause: Heart attack
Jailer Thomas Flores Douglas,"Harris County Sheriff's Office, TX","EOW: Wednesday, March 10, 2004",Cause: Heart attack
Deputy Sheriff Jason Michael Scott,"Loudon County Sheriff's Department, TN","EOW: Friday, March 12, 2004",Cause: Gunfire
Police Officer John Edward Logan,"Huntington Police Department, TX","EOW: Sunday, March 14, 2004",Cause: Gunfire
"Sergeant Joseph Eugene LeClaire, Jr.","Pennsylvania First Judicial District Warrant Unit, PA","EOW: Friday, March 19, 2004",Cause: Gunfire
"Police Officer Frank Manuel Cantu, Jr.","Houston Police Department, TX","EOW: Thursday, March 25, 2004",Cause: Vehicular assault
Deputy Sheriff Perry Austin Fillmore,"Clinton County Sheriff's Department, MI","EOW: Saturday, March 27, 2004",Cause: Automobile crash
Patrolman II Marlon Allen Titus,"Memphis Police Department, TN","EOW: Tuesday, March 30, 2004",Cause: Automobile crash
Deputy Sheriff Michael Allen Van Kuren,"Bradford County Sheriff's Office, PA","EOW: Wednesday, March 31, 2004",Cause: Gunfire
Deputy Sheriff Christopher Michael Burgert,"Bradford County Sheriff's Office, PA","EOW: Wednesday, March 31, 2004",Cause: Gunfire
Sergeant Jeffrey Todd Hewitt,"Buncombe County Sheriff's Office, NC","EOW: Sunday, April 4, 2004",Cause: Gunfire
Private First Class Roger Myers,"Charleston Police Department, SC","EOW: Monday, April 5, 2004",Cause: Heart attack
Deputy Sheriff Robert Curtis Goodwin,"Clarke County Sheriff's Department, MS","EOW: Tuesday, April 6, 2004",Cause: Struck by vehicle
